layer,rows,cols,significant_rank,significant_rank_ratio,rank1_energy,mean_cos_svd_resultant,group_input_dim,reconstruction_ratio
conv1,64,147,23,0.359375,0.095371,0.192310,,
layer1.0.conv1,64,64,25,0.390625,0.068671,0.199570,64,1.554238
layer1.0.conv2,64,576,34,0.531250,0.081924,0.099218,576,2.020789
layer1.0.conv3,256,64,37,0.578125,0.169404,0.367553,64,1.626835
layer1.0.downsample.0,256,64,36,0.562500,0.172288,0.403941,64,1.474924
layer1.1.conv1,64,256,38,0.593750,0.062246,0.205535,256,1.939215
layer1.1.conv2,64,576,44,0.687500,0.042804,0.107953,576,2.146411
layer1.1.conv3,256,64,41,0.640625,0.048598,0.189288,64,1.600531
layer1.2.conv1,64,256,39,0.609375,0.068362,0.202325,256,2.013205
layer1.2.conv2,64,576,43,0.671875,0.046018,0.158027,576,2.111609
layer1.2.conv3,256,64,41,0.640625,0.056486,0.216614,64,1.622859
layer2.0.conv1,128,256,65,0.507812,0.042213,0.175294,256,1.907773
layer2.0.conv2,128,1152,85,0.664062,0.026149,0.098346,1152,2.306171
layer2.0.conv3,512,128,80,0.625000,0.024080,0.109145,128,1.532578
layer2.0.downsample.0,512,256,103,0.402344,0.062418,0.073653,256,1.629018
layer2.1.conv1,128,512,71,0.554688,0.043817,0.093227,512,1.958256
layer2.1.conv2,128,1152,77,0.601562,0.036997,0.045976,1152,2.092043
layer2.1.conv3,512,128,75,0.585938,0.046417,0.166685,128,1.519705
layer2.2.conv1,128,512,76,0.593750,0.033408,0.140758,512,2.024574
layer2.2.conv2,128,1152,84,0.656250,0.026549,0.087089,1152,2.278637
layer2.2.conv3,512,128,76,0.593750,0.039375,0.119295,128,1.530633
layer2.3.conv1,128,512,78,0.609375,0.045025,0.100296,512,1.998959
layer2.3.conv2,128,1152,88,0.687500,0.026802,0.092286,1152,2.290626
layer2.3.conv3,512,128,79,0.617188,0.050469,0.192398,128,1.496395
layer3.0.conv1,256,512,122,0.476562,0.035746,0.166146,512,1.900666
layer3.0.conv2,256,2304,150,0.585938,0.014125,0.078112,2304,2.212620
layer3.0.conv3,1024,256,157,0.613281,0.018472,0.108741,256,1.750837
layer3.0.downsample.0,1024,512,236,0.460938,0.028988,0.112803,512,1.567736
layer3.1.conv1,256,1024,145,0.566406,0.023751,0.125606,1024,2.052294
layer3.1.conv2,256,2304,164,0.640625,0.018647,0.098967,2304,2.345852
layer3.1.conv3,1024,256,156,0.609375,0.035252,0.160896,256,1.688501
layer3.2.conv1,256,1024,144,0.562500,0.024393,0.112395,1024,1.998738
layer3.2.conv2,256,2304,172,0.671875,0.019571,0.062555,2304,2.425249
layer3.2.conv3,1024,256,150,0.585938,0.028748,0.151008,256,1.721760
layer3.3.conv1,256,1024,162,0.632812,0.024694,0.134101,1024,2.018694
layer3.3.conv2,256,2304,173,0.675781,0.019623,0.064153,2304,2.349820
layer3.3.conv3,1024,256,157,0.613281,0.031752,0.151849,256,1.682626
layer3.4.conv1,256,1024,161,0.628906,0.023894,0.139003,1024,2.037435
layer3.4.conv2,256,2304,175,0.683594,0.019323,0.111457,2304,2.351204
layer3.4.conv3,1024,256,152,0.593750,0.035411,0.136427,256,1.717107
layer3.5.conv1,256,1024,172,0.671875,0.025797,0.139741,1024,2.070759
layer3.5.conv2,256,2304,170,0.664062,0.028289,0.130227,2304,2.242424
layer3.5.conv3,1024,256,164,0.640625,0.051089,0.181458,256,1.651210
layer4.0.conv1,512,1024,279,0.544922,0.026970,0.151328,1024,1.957566
layer4.0.conv2,512,4608,302,0.589844,0.016152,0.111442,4608,1.716147
layer4.0.conv3,2048,512,365,0.712891,0.028859,0.155216,512,1.502331
layer4.0.downsample.0,2048,1024,574,0.560547,0.012326,0.087720,1024,1.616079
layer4.1.conv1,512,2048,351,0.685547,0.021608,0.136833,2048,1.818749
layer4.1.conv2,512,4608,342,0.667969,0.039473,0.174085,4608,1.840247
layer4.1.conv3,2048,512,344,0.671875,0.037258,0.175866,512,1.557076
layer4.2.conv1,512,2048,355,0.693359,0.058562,0.216870,2048,1.739285
layer4.2.conv2,512,4608,321,0.626953,0.078301,0.204623,4608,1.833622
layer4.2.conv3,2048,512,291,0.568359,0.178863,0.407103,512,1.609112
fc,1000,2048,678,0.678000,0.010302,0.089480,2048,1.724297
